Date,Product,Stock_Mbbls,Region
2005-01-05,Residual,12.172,Singapore
2005-01-05,Light Distillates,8.741,Singapore
2005-01-05,Middle Distillates,8.216,Singapore
2005-01-07,Gas Oil,11.0625,ARA
2005-01-07,Jet Fuel,1.875,ARA
2005-01-07,Fuel Oil,3.6225,ARA
2005-01-07,Gasoline,6.72,ARA
2005-01-07,Naphtha,1.5575,ARA
2005-01-12,Residual,10.692,Singapore
2005-01-12,Middle Distillates,8.243,Singapore
2005-01-12,Light Distillates,9.837,Singapore
2005-01-14,Gas Oil,12.1875,ARA
2005-01-14,Gasoline,7.14,ARA
2005-01-14,Naphtha,1.5575,ARA
2005-01-14,Jet Fuel,2.25,ARA
2005-01-14,Fuel Oil,3.3075,ARA
2005-01-19,Light Distillates,8.378,Singapore
2005-01-19,Middle Distillates,7.873,Singapore
2005-01-19,Residual,11.275,Singapore
2005-01-21,Gasoline,6.93,ARA
2005-01-21,Naphtha,1.5575,ARA
2005-01-21,Jet Fuel,1.875,ARA
2005-01-21,Fuel Oil,3.465,ARA
2005-01-21,Gas Oil,11.8125,ARA
2005-01-26,Light Distillates,8.645,Singapore
2005-01-26,Middle Distillates,7.414,Singapore
2005-01-26,Residual,11.802,Singapore
2005-01-28,Gasoline,6.72,ARA
2005-01-28,Naphtha,1.335,ARA
2005-01-28,Jet Fuel,1.8,ARA
2005-01-28,Gas Oil,11.25,ARA
2005-01-28,Fuel Oil,2.9925,ARA
2005-02-02,Light Distillates,9.238,Singapore
2005-02-02,Middle Distillates,7.029,Singapore
2005-02-02,Residual,10.908,Singapore
2005-02-04,Fuel Oil,2.3625,ARA
2005-02-04,Jet Fuel,1.6875,ARA
2005-02-04,Gas Oil,11.8125,ARA
2005-02-04,Gasoline,7.14,ARA
2005-02-04,Naphtha,1.1125,ARA
2005-02-09,Residual,11.288,Singapore
2005-02-09,Middle Distillates,6.229,Singapore
2005-02-09,Light Distillates,9.019,Singapore
2005-02-11,Naphtha,0.89,ARA
2005-02-11,Gas Oil,12,ARA
2005-02-11,Jet Fuel,1.6875,ARA
